Job title,Company,Deadline,Location
Russian Speaking Game Presenter,Evolution,04 May 2024,Yerevan
Executive Assistant,Alpha Group,04 May 2024,Yerevan
Clinical report coordinator,BostonGene Technologies,30 April 2024,Yerevan
Database Administrator,Viva-MTS (MTS Armenia CJSC),20 April 2024,Yerevan
Պահեստների պատասխանատու,Bacon Product LLC,04 May 2024,Arzni
Content Writer,FastBank CJSC,10 April 2024,Yerevan
Senior .Net Developer,FastBank CJSC,14 April 2024,Yerevan
Database Administrator,Synergy International Systems,04 May 2024,Yerevan
Tour manager,Miracle Tour and Travel,04 May 2024,Yerevan
Project Manager,OMD Armenia LLC,03 May 2024,Yerevan
"Chief Specialist, Corporate Customer Support and Operations Division",Ameriabank CJSC,16 April 2024,Yerevan
Ընթացակարգերի վերահսկման մասնագետ,Ucom,03 May 2024,Yerevan
Business Development Specialist,NoyMed LLC,03 May 2024,Yerevan
Customer Support Specialist,Menu Group UK Ltd,03 May 2024,Yerevan
Architectural Design Specialist,TUMO Center for Creative Technologies,03 May 2024,Yerevan
Հաշվետար,ՆՈՒՐՐԻ ՍՊԸ,03 May 2024,Yerevan
Վաճառքի վերլուծաբան,"""Ապաչի Գրուպ"" ՍՊԸ",03 May 2024,Abovyan
Leasing  Specialist,Ameriabank CJSC,16 April 2024,Yerevan
Economist-statistician/Statistics Department/Real Sector Statistics Division,CENTRAL BANK OF ARMENIA,17 April 2024,Dilijan
Առարկայական փորձագետ,Teach For Armenia,03 May 2024,Armenia (All cities)
Branding Copywriter,Ashstone Studios,03 May 2024,Yerevan
Հոսքագծի (լինիայի)աշխատակից,Digifood,03 May 2024,Yerevan
Ֆինանսական հաշվառման և հսկողության Գլխավոր մասնագետ,Inecobank CJSC,19 April 2024,Yerevan
Live Խաղավար,Evolution,03 May 2024,Yerevan
International Customer Support Specialist (with the knowledge of the Persian/Farsi language),“Digital Line” Limited Liability Company,03 May 2024,Yerevan
Shuffler,Evolution,03 May 2024,Yerevan
Վարկային գործարքների մոնիթորինգի առաջատար մասնագետ,VTB Bank (Armenia),03 May 2024,Yerevan
Խաղաթղթավար (շաֆլեր),Evolution,03 May 2024,Yerevan
Գանձապահ՝ «Արթիկ» մասնաճյուղում/ցերեկային հերթափոխով,FastBank CJSC,14 April 2024,Artik
Project Coordinator/ VBET,SoftConstruct,03 May 2024,Yerevan
Ոսկերիչ գնահատողի օգնական՝ «Արթիկ» մասնաճյուղում,FastBank CJSC,14 April 2024,Artik
Հաշվետար,Digifood,03 May 2024,Yerevan
Գործատուի բրենդավորման և հաղորդակցման մասնագետ,Atenk Ltd,30 April 2024,Yerevan
Office Manager/ Marketing Assistant,Mont LLC,03 May 2024,Yerevan
Բժշկական սարքավորումների վաճառքի մասնագետ,Diavant LLC,03 May 2024,Yerevan
Office manager,Europroduct LLC,02 May 2024,Yerevan
Responsible for risk management,EFES,03 May 2024,Yerevan
Գրաֆիկ դիզայներ,Printax.am,03 May 2024,Yerevan
Accountant,MTK LLC,03 May 2024,Abovyan
Head of Real Estate Management Division,"""Telecom Armenia"" OJSC",03 May 2024,Yerevan
Մարքեթինգի ղեկավար,ԱՅՈ ՈՒՎԿ ՓԲԸ,03 May 2024,Yerevan
Senior Tech Recruiter,Magnus,03 May 2024,Yerevan
Kaspersky Lab System Engineer Level I / II,Mont LLC,03 May 2024,Yerevan
Communications Technical Specialist,iBooben Development,03 May 2024,Yerevan
Product Marketing Manager,SoftConstruct,30 April 2024,Yerevan
Internal Sales Representative,Zeppelin Armenia LLC,03 May 2024,Yerevan
Internal Sales Representative,Zeppelin Armenia LLC,03 May 2024,Vanadzor
Թվային ինտեգրման մասնագետ,Telcell,03 May 2024,Yerevan
Շուկայի զարգացման պատասխանատու,Ապարան Թան +,03 May 2024,Yerevan
Sales Manager / Customer Service Manager /,ԱԳ Իմպեքս ՍՊԸ,30 April 2024,Yerevan
"Group Chief Risks Management Officer (Armenia, Georgia, Belarus)",Թայմլես ՍՊԸ,03 May 2024,Yerevan
"Executive Assistant, Retail banking department",Ameriabank CJSC,17 April 2024,Yerevan
Հաճախորդների սպասարկման որակի վերահսկողության մասնագետ,"""Telecom Armenia"" OJSC",03 May 2024,Yerevan
Social Media Marketing Specialist,ERP Solutions LLC,03 May 2024,Yerevan
Financial analyst,Evocabank,28 April 2024,Yerevan
Business Developer,ERP Solutions LLC,03 May 2024,Yerevan
Customer Support Agent - Arabic and English Languages,SoftConstruct,30 April 2024,Yerevan
Customer Support Agent - Korean Language,SoftConstruct,30 April 2024,Yerevan
Customer Support Agent - Spanish and English Languages,SoftConstruct,30 April 2024,Yerevan
Deputy Head of Compliance,SoftConstruct,30 April 2024,Yerevan
Art Director,Jellyfish Yerevan,03 May 2024,Parakar
Estimator,«ԷՅՋԻ ՔՆՍԹՐԱՔՇՆ» ՍՊԸ,03 May 2024,Yerevan
sales manager,SOLAR CENTRE LLC,03 May 2024,Vagharshapat
Customer Support Agent -French Language(mixed shifts),SoftConstruct,30 April 2024,Yerevan
Sales Manager (Spanish speaker),SOFT CONSULTING,03 May 2024,Yerevan
Social Media Manager,Sourcefit AM,03 May 2024,Yerevan
